task,domain,source_anchor_pct,target_anchor_pct,condition,metric,mean,std,n_folds,n_samples,n_groups,source_bundle,source_training_position_pct,target_training_position_pct,source_route_auroc,target_route_auroc,source_rank,target_rank,source_representation,target_representation
earlystop,math,10,10,frozen_basis,auroc,0.894273,0.017049,5,7680,120,es_svd_ms_rr_r1,10,10,0.895010,0.895010,16,16,raw+rank,raw+rank
earlystop,math,10,10,frozen_basis,selacc@10%,0.997403,0.003181,5,7680,120,es_svd_ms_rr_r1,10,10,0.895010,0.895010,16,16,raw+rank,raw+rank
earlystop,math,10,10,frozen_basis,stop_acc,0.741667,0.048591,5,7680,120,es_svd_ms_rr_r1,10,10,0.895010,0.895010,16,16,raw+rank,raw+rank
earlystop,math,10,10,task_specific,auroc,0.895386,0.017083,5,7680,120,es_svd_ms_rr_r1,10,10,0.895010,0.895010,16,16,raw+rank,raw+rank
earlystop,math,10,10,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,10,10,0.895010,0.895010,16,16,raw+rank,raw+rank
earlystop,math,10,10,task_specific,stop_acc,0.733333,0.042492,5,7680,120,es_svd_ms_rr_r1,10,10,0.895010,0.895010,16,16,raw+rank,raw+rank
earlystop,math,10,10,no_svd,auroc,0.896373,0.017781,5,7680,120,es_svd_ms_rr_r1,10,10,0.895010,0.895010,16,16,raw+rank,raw+rank
earlystop,math,10,10,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,10,10,0.895010,0.895010,16,16,raw+rank,raw+rank
earlystop,math,10,10,no_svd,stop_acc,0.716667,0.061237,5,7680,120,es_svd_ms_rr_r1,10,10,0.895010,0.895010,16,16,raw+rank,raw+rank
earlystop,math,10,40,frozen_basis,auroc,0.943174,0.018494,5,7680,120,es_svd_ms_rr_r1,10,40,0.895010,0.935389,16,16,raw+rank,raw+rank
earlystop,math,10,40,frozen_basis,selacc@10%,0.996104,0.003181,5,7680,120,es_svd_ms_rr_r1,10,40,0.895010,0.935389,16,16,raw+rank,raw+rank
earlystop,math,10,40,frozen_basis,stop_acc,0.766667,0.042492,5,7680,120,es_svd_ms_rr_r1,10,40,0.895010,0.935389,16,16,raw+rank,raw+rank
earlystop,math,10,40,task_specific,auroc,0.945627,0.017461,5,7680,120,es_svd_ms_rr_r1,10,40,0.895010,0.935389,16,16,raw+rank,raw+rank
earlystop,math,10,40,task_specific,selacc@10%,0.996104,0.003181,5,7680,120,es_svd_ms_rr_r1,10,40,0.895010,0.935389,16,16,raw+rank,raw+rank
earlystop,math,10,40,task_specific,stop_acc,0.766667,0.042492,5,7680,120,es_svd_ms_rr_r1,10,40,0.895010,0.935389,16,16,raw+rank,raw+rank
earlystop,math,10,40,no_svd,auroc,0.947742,0.013603,5,7680,120,es_svd_ms_rr_r1,10,40,0.895010,0.935389,16,16,raw+rank,raw+rank
earlystop,math,10,40,no_svd,selacc@10%,0.997403,0.003181,5,7680,120,es_svd_ms_rr_r1,10,40,0.895010,0.935389,16,16,raw+rank,raw+rank
earlystop,math,10,40,no_svd,stop_acc,0.758333,0.040825,5,7680,120,es_svd_ms_rr_r1,10,40,0.895010,0.935389,16,16,raw+rank,raw+rank
earlystop,math,10,70,frozen_basis,auroc,0.954895,0.015363,5,7680,120,es_svd_ms_rr_r1,10,70,0.895010,0.945019,16,16,raw+rank,raw+rank
earlystop,math,10,70,frozen_basis,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,10,70,0.895010,0.945019,16,16,raw+rank,raw+rank
earlystop,math,10,70,frozen_basis,stop_acc,0.783333,0.048591,5,7680,120,es_svd_ms_rr_r1,10,70,0.895010,0.945019,16,16,raw+rank,raw+rank
earlystop,math,10,70,task_specific,auroc,0.958260,0.013974,5,7680,120,es_svd_ms_rr_r1,10,70,0.895010,0.945019,16,16,raw+rank,raw+rank
earlystop,math,10,70,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,10,70,0.895010,0.945019,16,16,raw+rank,raw+rank
earlystop,math,10,70,task_specific,stop_acc,0.766667,0.067700,5,7680,120,es_svd_ms_rr_r1,10,70,0.895010,0.945019,16,16,raw+rank,raw+rank
earlystop,math,10,70,no_svd,auroc,0.959111,0.012643,5,7680,120,es_svd_ms_rr_r1,10,70,0.895010,0.945019,16,16,raw+rank,raw+rank
earlystop,math,10,70,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,10,70,0.895010,0.945019,16,16,raw+rank,raw+rank
earlystop,math,10,70,no_svd,stop_acc,0.775000,0.056519,5,7680,120,es_svd_ms_rr_r1,10,70,0.895010,0.945019,16,16,raw+rank,raw+rank
earlystop,math,10,100,frozen_basis,auroc,0.963860,0.011285,5,7680,120,es_svd_ms_rr_r1,10,100,0.895010,0.956656,16,16,raw+rank,raw+rank
earlystop,math,10,100,frozen_basis,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,10,100,0.895010,0.956656,16,16,raw+rank,raw+rank
earlystop,math,10,100,frozen_basis,stop_acc,0.800000,0.031180,5,7680,120,es_svd_ms_rr_r1,10,100,0.895010,0.956656,16,16,raw+rank,raw+rank
earlystop,math,10,100,task_specific,auroc,0.965784,0.010693,5,7680,120,es_svd_ms_rr_r1,10,100,0.895010,0.956656,16,16,raw+rank,raw+rank
earlystop,math,10,100,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,10,100,0.895010,0.956656,16,16,raw+rank,raw+rank
earlystop,math,10,100,task_specific,stop_acc,0.800000,0.031180,5,7680,120,es_svd_ms_rr_r1,10,100,0.895010,0.956656,16,16,raw+rank,raw+rank
earlystop,math,10,100,no_svd,auroc,0.966757,0.010619,5,7680,120,es_svd_ms_rr_r1,10,100,0.895010,0.956656,16,16,raw+rank,raw+rank
earlystop,math,10,100,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,10,100,0.895010,0.956656,16,16,raw+rank,raw+rank
earlystop,math,10,100,no_svd,stop_acc,0.800000,0.031180,5,7680,120,es_svd_ms_rr_r1,10,100,0.895010,0.956656,16,16,raw+rank,raw+rank
earlystop,math,40,10,frozen_basis,auroc,0.890445,0.017031,5,7680,120,es_svd_ms_rr_r1,40,10,0.935389,0.895010,16,16,raw+rank,raw+rank
earlystop,math,40,10,frozen_basis,selacc@10%,0.997403,0.003181,5,7680,120,es_svd_ms_rr_r1,40,10,0.935389,0.895010,16,16,raw+rank,raw+rank
earlystop,math,40,10,frozen_basis,stop_acc,0.716667,0.031180,5,7680,120,es_svd_ms_rr_r1,40,10,0.935389,0.895010,16,16,raw+rank,raw+rank
earlystop,math,40,10,task_specific,auroc,0.895386,0.017083,5,7680,120,es_svd_ms_rr_r1,40,10,0.935389,0.895010,16,16,raw+rank,raw+rank
earlystop,math,40,10,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,40,10,0.935389,0.895010,16,16,raw+rank,raw+rank
earlystop,math,40,10,task_specific,stop_acc,0.733333,0.042492,5,7680,120,es_svd_ms_rr_r1,40,10,0.935389,0.895010,16,16,raw+rank,raw+rank
earlystop,math,40,10,no_svd,auroc,0.896373,0.017781,5,7680,120,es_svd_ms_rr_r1,40,10,0.935389,0.895010,16,16,raw+rank,raw+rank
earlystop,math,40,10,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,40,10,0.935389,0.895010,16,16,raw+rank,raw+rank
earlystop,math,40,10,no_svd,stop_acc,0.716667,0.061237,5,7680,120,es_svd_ms_rr_r1,40,10,0.935389,0.895010,16,16,raw+rank,raw+rank
earlystop,math,40,40,frozen_basis,auroc,0.943594,0.019099,5,7680,120,es_svd_ms_rr_r1,40,40,0.935389,0.935389,16,16,raw+rank,raw+rank
earlystop,math,40,40,frozen_basis,selacc@10%,0.996104,0.003181,5,7680,120,es_svd_ms_rr_r1,40,40,0.935389,0.935389,16,16,raw+rank,raw+rank
earlystop,math,40,40,frozen_basis,stop_acc,0.758333,0.040825,5,7680,120,es_svd_ms_rr_r1,40,40,0.935389,0.935389,16,16,raw+rank,raw+rank
earlystop,math,40,40,task_specific,auroc,0.945627,0.017461,5,7680,120,es_svd_ms_rr_r1,40,40,0.935389,0.935389,16,16,raw+rank,raw+rank
earlystop,math,40,40,task_specific,selacc@10%,0.996104,0.003181,5,7680,120,es_svd_ms_rr_r1,40,40,0.935389,0.935389,16,16,raw+rank,raw+rank
earlystop,math,40,40,task_specific,stop_acc,0.766667,0.042492,5,7680,120,es_svd_ms_rr_r1,40,40,0.935389,0.935389,16,16,raw+rank,raw+rank
earlystop,math,40,40,no_svd,auroc,0.947742,0.013603,5,7680,120,es_svd_ms_rr_r1,40,40,0.935389,0.935389,16,16,raw+rank,raw+rank
earlystop,math,40,40,no_svd,selacc@10%,0.997403,0.003181,5,7680,120,es_svd_ms_rr_r1,40,40,0.935389,0.935389,16,16,raw+rank,raw+rank
earlystop,math,40,40,no_svd,stop_acc,0.758333,0.040825,5,7680,120,es_svd_ms_rr_r1,40,40,0.935389,0.935389,16,16,raw+rank,raw+rank
earlystop,math,40,70,frozen_basis,auroc,0.957682,0.014229,5,7680,120,es_svd_ms_rr_r1,40,70,0.935389,0.945019,16,16,raw+rank,raw+rank
earlystop,math,40,70,frozen_basis,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,40,70,0.935389,0.945019,16,16,raw+rank,raw+rank
earlystop,math,40,70,frozen_basis,stop_acc,0.766667,0.067700,5,7680,120,es_svd_ms_rr_r1,40,70,0.935389,0.945019,16,16,raw+rank,raw+rank
earlystop,math,40,70,task_specific,auroc,0.958260,0.013974,5,7680,120,es_svd_ms_rr_r1,40,70,0.935389,0.945019,16,16,raw+rank,raw+rank
earlystop,math,40,70,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,40,70,0.935389,0.945019,16,16,raw+rank,raw+rank
earlystop,math,40,70,task_specific,stop_acc,0.766667,0.067700,5,7680,120,es_svd_ms_rr_r1,40,70,0.935389,0.945019,16,16,raw+rank,raw+rank
earlystop,math,40,70,no_svd,auroc,0.959111,0.012643,5,7680,120,es_svd_ms_rr_r1,40,70,0.935389,0.945019,16,16,raw+rank,raw+rank
earlystop,math,40,70,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,40,70,0.935389,0.945019,16,16,raw+rank,raw+rank
earlystop,math,40,70,no_svd,stop_acc,0.775000,0.056519,5,7680,120,es_svd_ms_rr_r1,40,70,0.935389,0.945019,16,16,raw+rank,raw+rank
earlystop,math,40,100,frozen_basis,auroc,0.965701,0.010427,5,7680,120,es_svd_ms_rr_r1,40,100,0.935389,0.956656,16,16,raw+rank,raw+rank
earlystop,math,40,100,frozen_basis,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,40,100,0.935389,0.956656,16,16,raw+rank,raw+rank
earlystop,math,40,100,frozen_basis,stop_acc,0.791667,0.026352,5,7680,120,es_svd_ms_rr_r1,40,100,0.935389,0.956656,16,16,raw+rank,raw+rank
earlystop,math,40,100,task_specific,auroc,0.965784,0.010693,5,7680,120,es_svd_ms_rr_r1,40,100,0.935389,0.956656,16,16,raw+rank,raw+rank
earlystop,math,40,100,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,40,100,0.935389,0.956656,16,16,raw+rank,raw+rank
earlystop,math,40,100,task_specific,stop_acc,0.800000,0.031180,5,7680,120,es_svd_ms_rr_r1,40,100,0.935389,0.956656,16,16,raw+rank,raw+rank
earlystop,math,40,100,no_svd,auroc,0.966757,0.010619,5,7680,120,es_svd_ms_rr_r1,40,100,0.935389,0.956656,16,16,raw+rank,raw+rank
earlystop,math,40,100,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,40,100,0.935389,0.956656,16,16,raw+rank,raw+rank
earlystop,math,40,100,no_svd,stop_acc,0.800000,0.031180,5,7680,120,es_svd_ms_rr_r1,40,100,0.935389,0.956656,16,16,raw+rank,raw+rank
earlystop,math,70,10,frozen_basis,auroc,0.883672,0.016825,5,7680,120,es_svd_ms_rr_r1,70,10,0.945019,0.895010,16,16,raw+rank,raw+rank
earlystop,math,70,10,frozen_basis,selacc@10%,0.997403,0.003181,5,7680,120,es_svd_ms_rr_r1,70,10,0.945019,0.895010,16,16,raw+rank,raw+rank
earlystop,math,70,10,frozen_basis,stop_acc,0.716667,0.031180,5,7680,120,es_svd_ms_rr_r1,70,10,0.945019,0.895010,16,16,raw+rank,raw+rank
earlystop,math,70,10,task_specific,auroc,0.895386,0.017083,5,7680,120,es_svd_ms_rr_r1,70,10,0.945019,0.895010,16,16,raw+rank,raw+rank
earlystop,math,70,10,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,70,10,0.945019,0.895010,16,16,raw+rank,raw+rank
earlystop,math,70,10,task_specific,stop_acc,0.733333,0.042492,5,7680,120,es_svd_ms_rr_r1,70,10,0.945019,0.895010,16,16,raw+rank,raw+rank
earlystop,math,70,10,no_svd,auroc,0.896373,0.017781,5,7680,120,es_svd_ms_rr_r1,70,10,0.945019,0.895010,16,16,raw+rank,raw+rank
earlystop,math,70,10,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,70,10,0.945019,0.895010,16,16,raw+rank,raw+rank
earlystop,math,70,10,no_svd,stop_acc,0.716667,0.061237,5,7680,120,es_svd_ms_rr_r1,70,10,0.945019,0.895010,16,16,raw+rank,raw+rank
earlystop,math,70,40,frozen_basis,auroc,0.942584,0.020193,5,7680,120,es_svd_ms_rr_r1,70,40,0.945019,0.935389,16,16,raw+rank,raw+rank
earlystop,math,70,40,frozen_basis,selacc@10%,0.996104,0.003181,5,7680,120,es_svd_ms_rr_r1,70,40,0.945019,0.935389,16,16,raw+rank,raw+rank
earlystop,math,70,40,frozen_basis,stop_acc,0.750000,0.045644,5,7680,120,es_svd_ms_rr_r1,70,40,0.945019,0.935389,16,16,raw+rank,raw+rank
earlystop,math,70,40,task_specific,auroc,0.945627,0.017461,5,7680,120,es_svd_ms_rr_r1,70,40,0.945019,0.935389,16,16,raw+rank,raw+rank
earlystop,math,70,40,task_specific,selacc@10%,0.996104,0.003181,5,7680,120,es_svd_ms_rr_r1,70,40,0.945019,0.935389,16,16,raw+rank,raw+rank
earlystop,math,70,40,task_specific,stop_acc,0.766667,0.042492,5,7680,120,es_svd_ms_rr_r1,70,40,0.945019,0.935389,16,16,raw+rank,raw+rank
earlystop,math,70,40,no_svd,auroc,0.947742,0.013603,5,7680,120,es_svd_ms_rr_r1,70,40,0.945019,0.935389,16,16,raw+rank,raw+rank
earlystop,math,70,40,no_svd,selacc@10%,0.997403,0.003181,5,7680,120,es_svd_ms_rr_r1,70,40,0.945019,0.935389,16,16,raw+rank,raw+rank
earlystop,math,70,40,no_svd,stop_acc,0.758333,0.040825,5,7680,120,es_svd_ms_rr_r1,70,40,0.945019,0.935389,16,16,raw+rank,raw+rank
earlystop,math,70,70,frozen_basis,auroc,0.957509,0.014581,5,7680,120,es_svd_ms_rr_r1,70,70,0.945019,0.945019,16,16,raw+rank,raw+rank
earlystop,math,70,70,frozen_basis,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,70,70,0.945019,0.945019,16,16,raw+rank,raw+rank
earlystop,math,70,70,frozen_basis,stop_acc,0.766667,0.067700,5,7680,120,es_svd_ms_rr_r1,70,70,0.945019,0.945019,16,16,raw+rank,raw+rank
earlystop,math,70,70,task_specific,auroc,0.958260,0.013974,5,7680,120,es_svd_ms_rr_r1,70,70,0.945019,0.945019,16,16,raw+rank,raw+rank
earlystop,math,70,70,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,70,70,0.945019,0.945019,16,16,raw+rank,raw+rank
earlystop,math,70,70,task_specific,stop_acc,0.766667,0.067700,5,7680,120,es_svd_ms_rr_r1,70,70,0.945019,0.945019,16,16,raw+rank,raw+rank
earlystop,math,70,70,no_svd,auroc,0.959111,0.012643,5,7680,120,es_svd_ms_rr_r1,70,70,0.945019,0.945019,16,16,raw+rank,raw+rank
earlystop,math,70,70,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,70,70,0.945019,0.945019,16,16,raw+rank,raw+rank
earlystop,math,70,70,no_svd,stop_acc,0.775000,0.056519,5,7680,120,es_svd_ms_rr_r1,70,70,0.945019,0.945019,16,16,raw+rank,raw+rank
earlystop,math,70,100,frozen_basis,auroc,0.965791,0.010604,5,7680,120,es_svd_ms_rr_r1,70,100,0.945019,0.956656,16,16,raw+rank,raw+rank
earlystop,math,70,100,frozen_basis,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,70,100,0.945019,0.956656,16,16,raw+rank,raw+rank
earlystop,math,70,100,frozen_basis,stop_acc,0.791667,0.026352,5,7680,120,es_svd_ms_rr_r1,70,100,0.945019,0.956656,16,16,raw+rank,raw+rank
earlystop,math,70,100,task_specific,auroc,0.965784,0.010693,5,7680,120,es_svd_ms_rr_r1,70,100,0.945019,0.956656,16,16,raw+rank,raw+rank
earlystop,math,70,100,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,70,100,0.945019,0.956656,16,16,raw+rank,raw+rank
earlystop,math,70,100,task_specific,stop_acc,0.800000,0.031180,5,7680,120,es_svd_ms_rr_r1,70,100,0.945019,0.956656,16,16,raw+rank,raw+rank
earlystop,math,70,100,no_svd,auroc,0.966757,0.010619,5,7680,120,es_svd_ms_rr_r1,70,100,0.945019,0.956656,16,16,raw+rank,raw+rank
earlystop,math,70,100,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,70,100,0.945019,0.956656,16,16,raw+rank,raw+rank
earlystop,math,70,100,no_svd,stop_acc,0.800000,0.031180,5,7680,120,es_svd_ms_rr_r1,70,100,0.945019,0.956656,16,16,raw+rank,raw+rank
earlystop,math,100,10,frozen_basis,auroc,0.870281,0.017606,5,7680,120,es_svd_ms_rr_r1,100,10,0.956656,0.895010,16,16,raw+rank,raw+rank
earlystop,math,100,10,frozen_basis,selacc@10%,0.997403,0.003181,5,7680,120,es_svd_ms_rr_r1,100,10,0.956656,0.895010,16,16,raw+rank,raw+rank
earlystop,math,100,10,frozen_basis,stop_acc,0.733333,0.062361,5,7680,120,es_svd_ms_rr_r1,100,10,0.956656,0.895010,16,16,raw+rank,raw+rank
earlystop,math,100,10,task_specific,auroc,0.895386,0.017083,5,7680,120,es_svd_ms_rr_r1,100,10,0.956656,0.895010,16,16,raw+rank,raw+rank
earlystop,math,100,10,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,100,10,0.956656,0.895010,16,16,raw+rank,raw+rank
earlystop,math,100,10,task_specific,stop_acc,0.733333,0.042492,5,7680,120,es_svd_ms_rr_r1,100,10,0.956656,0.895010,16,16,raw+rank,raw+rank
earlystop,math,100,10,no_svd,auroc,0.896373,0.017781,5,7680,120,es_svd_ms_rr_r1,100,10,0.956656,0.895010,16,16,raw+rank,raw+rank
earlystop,math,100,10,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,100,10,0.956656,0.895010,16,16,raw+rank,raw+rank
earlystop,math,100,10,no_svd,stop_acc,0.716667,0.061237,5,7680,120,es_svd_ms_rr_r1,100,10,0.956656,0.895010,16,16,raw+rank,raw+rank
earlystop,math,100,40,frozen_basis,auroc,0.936862,0.023340,5,7680,120,es_svd_ms_rr_r1,100,40,0.956656,0.935389,16,16,raw+rank,raw+rank
earlystop,math,100,40,frozen_basis,selacc@10%,0.996104,0.003181,5,7680,120,es_svd_ms_rr_r1,100,40,0.956656,0.935389,16,16,raw+rank,raw+rank
earlystop,math,100,40,frozen_basis,stop_acc,0.758333,0.055277,5,7680,120,es_svd_ms_rr_r1,100,40,0.956656,0.935389,16,16,raw+rank,raw+rank
earlystop,math,100,40,task_specific,auroc,0.945627,0.017461,5,7680,120,es_svd_ms_rr_r1,100,40,0.956656,0.935389,16,16,raw+rank,raw+rank
earlystop,math,100,40,task_specific,selacc@10%,0.996104,0.003181,5,7680,120,es_svd_ms_rr_r1,100,40,0.956656,0.935389,16,16,raw+rank,raw+rank
earlystop,math,100,40,task_specific,stop_acc,0.766667,0.042492,5,7680,120,es_svd_ms_rr_r1,100,40,0.956656,0.935389,16,16,raw+rank,raw+rank
earlystop,math,100,40,no_svd,auroc,0.947742,0.013603,5,7680,120,es_svd_ms_rr_r1,100,40,0.956656,0.935389,16,16,raw+rank,raw+rank
earlystop,math,100,40,no_svd,selacc@10%,0.997403,0.003181,5,7680,120,es_svd_ms_rr_r1,100,40,0.956656,0.935389,16,16,raw+rank,raw+rank
earlystop,math,100,40,no_svd,stop_acc,0.758333,0.040825,5,7680,120,es_svd_ms_rr_r1,100,40,0.956656,0.935389,16,16,raw+rank,raw+rank
earlystop,math,100,70,frozen_basis,auroc,0.956144,0.015460,5,7680,120,es_svd_ms_rr_r1,100,70,0.956656,0.945019,16,16,raw+rank,raw+rank
earlystop,math,100,70,frozen_basis,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,100,70,0.956656,0.945019,16,16,raw+rank,raw+rank
earlystop,math,100,70,frozen_basis,stop_acc,0.766667,0.067700,5,7680,120,es_svd_ms_rr_r1,100,70,0.956656,0.945019,16,16,raw+rank,raw+rank
earlystop,math,100,70,task_specific,auroc,0.958260,0.013974,5,7680,120,es_svd_ms_rr_r1,100,70,0.956656,0.945019,16,16,raw+rank,raw+rank
earlystop,math,100,70,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,100,70,0.956656,0.945019,16,16,raw+rank,raw+rank
earlystop,math,100,70,task_specific,stop_acc,0.766667,0.067700,5,7680,120,es_svd_ms_rr_r1,100,70,0.956656,0.945019,16,16,raw+rank,raw+rank
earlystop,math,100,70,no_svd,auroc,0.959111,0.012643,5,7680,120,es_svd_ms_rr_r1,100,70,0.956656,0.945019,16,16,raw+rank,raw+rank
earlystop,math,100,70,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,100,70,0.956656,0.945019,16,16,raw+rank,raw+rank
earlystop,math,100,70,no_svd,stop_acc,0.775000,0.056519,5,7680,120,es_svd_ms_rr_r1,100,70,0.956656,0.945019,16,16,raw+rank,raw+rank
earlystop,math,100,100,frozen_basis,auroc,0.965466,0.011391,5,7680,120,es_svd_ms_rr_r1,100,100,0.956656,0.956656,16,16,raw+rank,raw+rank
earlystop,math,100,100,frozen_basis,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,100,100,0.956656,0.956656,16,16,raw+rank,raw+rank
earlystop,math,100,100,frozen_basis,stop_acc,0.791667,0.026352,5,7680,120,es_svd_ms_rr_r1,100,100,0.956656,0.956656,16,16,raw+rank,raw+rank
earlystop,math,100,100,task_specific,auroc,0.965784,0.010693,5,7680,120,es_svd_ms_rr_r1,100,100,0.956656,0.956656,16,16,raw+rank,raw+rank
earlystop,math,100,100,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,100,100,0.956656,0.956656,16,16,raw+rank,raw+rank
earlystop,math,100,100,task_specific,stop_acc,0.800000,0.031180,5,7680,120,es_svd_ms_rr_r1,100,100,0.956656,0.956656,16,16,raw+rank,raw+rank
earlystop,math,100,100,no_svd,auroc,0.966757,0.010619,5,7680,120,es_svd_ms_rr_r1,100,100,0.956656,0.956656,16,16,raw+rank,raw+rank
earlystop,math,100,100,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,100,100,0.956656,0.956656,16,16,raw+rank,raw+rank
earlystop,math,100,100,no_svd,stop_acc,0.800000,0.031180,5,7680,120,es_svd_ms_rr_r1,100,100,0.956656,0.956656,16,16,raw+rank,raw+rank
earlystop,science,10,10,frozen_basis,auroc,0.683327,0.076971,5,12672,198,es_svd_ms_rr_r1,10,10,0.712783,0.712783,16,16,raw+rank,raw+rank
