row_type,domain,anchor_band,anchor_pct,legacy_auroc,neuron_auroc,delta_auroc,legacy_selacc_at_10,neuron_selacc_at_10,delta_selacc_at_10,legacy_stop_acc,neuron_stop_acc,delta_stop_acc,legacy_auc_over_anchor_auroc,neuron_auc_over_anchor_auroc,delta_auc_over_anchor_auroc
per_anchor,math,,10,0.935674831551048,0.9367179916595267,0.0010431601084787134,0.9835164835164836,0.9835164835164836,0.0,0.75,0.75,0.0,0.967712291383557,0.9660019675904339,-0.0017103237931230808
per_anchor,math,,20,0.9512999596391717,0.9475058908217721,-0.0037940688173996318,1.0,1.0,0.0,0.7142857142857143,0.7142857142857143,0.0,0.967712291383557,0.9660019675904339,-0.0017103237931230808
per_anchor,math,,30,0.9593806992109047,0.9600277698105353,0.0006470705996305393,1.0,1.0,0.0,0.75,0.75,0.0,0.967712291383557,0.9660019675904339,-0.0017103237931230808
per_anchor,math,,40,0.9689413105631977,0.971024802837917,0.0020834922747193785,1.0,1.0,0.0,0.75,0.7142857142857143,-0.0357142857142857,0.967712291383557,0.9660019675904339,-0.0017103237931230808
per_anchor,math,,50,0.9730838602658737,0.9726572469578179,-0.0004266133080558232,1.0,1.0,0.0,0.75,0.75,0.0,0.967712291383557,0.9660019675904339,-0.0017103237931230808
per_anchor,math,,60,0.9750129837860744,0.9743424654188877,-0.0006705183671866788,1.0,1.0,0.0,0.7142857142857143,0.75,0.0357142857142857,0.967712291383557,0.9660019675904339,-0.0017103237931230808
per_anchor,math,,70,0.9760681967929894,0.9731244604782879,-0.0029437363147014617,1.0,1.0,0.0,0.7142857142857143,0.7142857142857143,0.0,0.967712291383557,0.9660019675904339,-0.0017103237931230808
per_anchor,math,,80,0.9781889918323555,0.9756449883297782,-0.00254400350257733,1.0,1.0,0.0,0.75,0.75,0.0,0.967712291383557,0.9660019675904339,-0.0017103237931230808
per_anchor,math,,90,0.977745678241139,0.9758671998677386,-0.001878478373400383,1.0,1.0,0.0,0.75,0.75,0.0,0.967712291383557,0.9660019675904339,-0.0017103237931230808
per_anchor,math,,100,0.9817264019528166,0.9731068597220781,-0.008619542230738464,1.0,1.0,0.0,0.75,0.75,0.0,0.967712291383557,0.9660019675904339,-0.0017103237931230808
band_summary,math,early_10_40,,,,-5.086458642750147e-06,,,0.0,,,-0.008928571428571425,0.967712291383557,0.9660019675904339,-0.0017103237931230808
band_summary,math,late_70_100,,,,-0.00399644010535441,,,0.0,,,0.0,0.967712291383557,0.9660019675904339,-0.0017103237931230808
band_summary,math,all_10_100,,,,-0.0017103237931231142,,,0.0,,,0.0,0.967712291383557,0.9660019675904339,-0.0017103237931230808
per_anchor,science,,10,0.7672695755657803,0.7532270415196145,-0.014042534046165844,0.9791666666666667,0.9375,-0.04166666666666674,0.7166666666666667,0.6666666666666666,-0.050000000000000044,0.8268695663577303,0.8293221051412473,0.002452538783516922
per_anchor,science,,20,0.8013069701520701,0.8104721089502775,0.009165138798207462,0.9921875,0.9583333333333333,-0.03385416666666674,0.6333333333333333,0.7,0.06666666666666665,0.8268695663577303,0.8293221051412473,0.002452538783516922
per_anchor,science,,30,0.8214689591999005,0.8278123779018939,0.006343418701993397,0.9921875,0.9791666666666666,-0.01302083333333337,0.7,0.7333333333333333,0.033333333333333326,0.8268695663577303,0.8293221051412473,0.002452538783516922
per_anchor,science,,40,0.833774992763247,0.8331736103505324,-0.0006013824127145684,1.0,0.9869791666666666,-0.01302083333333337,0.6666666666666666,0.7333333333333333,0.06666666666666665,0.8268695663577303,0.8293221051412473,0.002452538783516922
per_anchor,science,,50,0.8355147454494537,0.8359888256484594,0.00047408019900574416,0.9973958333333333,0.9765625,-0.02083333333333326,0.6499999999999999,0.6333333333333333,-0.016666666666666607,0.8268695663577303,0.8293221051412473,0.002452538783516922
per_anchor,science,,60,0.8379010478220086,0.8378402800641493,-6.076775785923694e-05,0.9973958333333333,0.9791666666666667,-0.01822916666666652,0.6833333333333333,0.7,0.016666666666666607,0.8268695663577303,0.8293221051412473,0.002452538783516922
per_anchor,science,,70,0.8422045173329881,0.8424978957108762,0.0002933783778881205,0.9973958333333333,0.9791666666666667,-0.01822916666666652,0.7333333333333333,0.7166666666666666,-0.01666666666666672,0.8268695663577303,0.8293221051412473,0.002452538783516922
per_anchor,science,,80,0.8461405424033657,0.8473297156073669,0.0011891732040012482,1.0,0.984375,-0.015625,0.6666666666666666,0.6833333333333333,0.01666666666666672,0.8268695663577303,0.8293221051412473,0.002452538783516922
per_anchor,science,,90,0.8420124498115482,0.8489421854982366,0.006929735686688421,1.0,0.9947916666666667,-0.005208333333333259,0.7,0.75,0.050000000000000044,0.8268695663577303,0.8293221051412473,0.002452538783516922
per_anchor,science,,100,0.8411018630769418,0.8559370101610655,0.014835147084123701,0.9947916666666667,0.9973958333333333,0.0026041666666665186,0.6499999999999999,0.7166666666666666,0.06666666666666665,0.8268695663577303,0.8293221051412473,0.002452538783516922
band_summary,science,early_10_40,,,,0.0002161602603301116,,,-0.025390625000000056,,,0.029166666666666646,0.8268695663577303,0.8293221051412473,0.002452538783516922
band_summary,science,late_70_100,,,,0.005811858588175373,,,-0.009114583333333315,,,0.029166666666666674,0.8268695663577303,0.8293221051412473,0.002452538783516922
band_summary,science,all_10_100,,,,0.0024525387835168445,,,-0.017708333333333326,,,0.023333333333333327,0.8268695663577303,0.8293221051412473,0.002452538783516922
per_anchor,coding,,10,0.46558136698981767,0.44264186517707643,-0.022939501812741236,0.33125,0.40625,0.07500000000000001,0.56,0.52,-0.040000000000000036,0.43209544758840535,0.44206075614526325,0.0099653085568579
per_anchor,coding,,20,0.454512623526708,0.43612881641050655,-0.018383807116201467,0.24375,0.31875,0.07499999999999998,0.44,0.52,0.08000000000000002,0.43209544758840535,0.44206075614526325,0.0099653085568579
per_anchor,coding,,30,0.4251695096765519,0.4269971030534411,0.0018275933768891472,0.1875,0.29375,0.10625000000000001,0.52,0.52,0.0,0.43209544758840535,0.44206075614526325,0.0099653085568579
per_anchor,coding,,40,0.4170555579006283,0.42918114749100666,0.01212558959037835,0.175,0.28125,0.10625000000000001,0.44,0.44,0.0,0.43209544758840535,0.44206075614526325,0.0099653085568579
per_anchor,coding,,50,0.4152373448148096,0.4317888684085867,0.016551523593777095,0.14375,0.175,0.03125,0.44,0.4,-0.03999999999999998,0.43209544758840535,0.44206075614526325,0.0099653085568579
per_anchor,coding,,60,0.4285980060627948,0.4479917578509128,0.019393751788117974,0.15,0.20625,0.056249999999999994,0.56,0.44,-0.12000000000000005,0.43209544758840535,0.44206075614526325,0.0099653085568579
per_anchor,coding,,70,0.4424261184824565,0.4680311863410455,0.025605067858589015,0.225,0.35,0.12499999999999997,0.48,0.4,-0.07999999999999996,0.43209544758840535,0.44206075614526325,0.0099653085568579
per_anchor,coding,,80,0.4284963862428651,0.46147123611912344,0.032974849876258316,0.2875,0.28125,-0.006249999999999978,0.48,0.48,0.0,0.43209544758840535,0.44206075614526325,0.0099653085568579
per_anchor,coding,,90,0.4370465215535638,0.44403171163734545,0.006985190083781623,0.28125,0.1875,-0.09375,0.52,0.44,-0.08000000000000002,0.43209544758840535,0.44206075614526325,0.0099653085568579
per_anchor,coding,,100,0.40683104063385755,0.4323438689635873,0.02551282832972973,0.2,0.3375,0.1375,0.52,0.44,-0.08000000000000002,0.43209544758840535,0.44206075614526325,0.0099653085568579
band_summary,coding,early_10_40,,,,-0.006842531490418802,,,0.090625,,,0.009999999999999995,0.43209544758840535,0.44206075614526325,0.0099653085568579
band_summary,coding,late_70_100,,,,0.02276948403708967,,,0.040625,,,-0.06,0.43209544758840535,0.44206075614526325,0.0099653085568579
band_summary,coding,all_10_100,,,,0.009965308556857854,,,0.061250000000000006,,,-0.036000000000000004,0.43209544758840535,0.44206075614526325,0.0099653085568579
