summary_type,domain,metric,source_anchor_pct,target_anchor_pct,gap_pct,direction,pair_count,pair_label,frozen_basis,task_specific,no_svd,delta_fb_minus_ts,delta_fb_minus_nosvd
diagonal_mean,math,auroc,,,,diagonal,10,,0.9442778999999998,0.9456251,0.9467713,-0.0013472000000000002,-0.0024934
diagonal_mean,math,selacc@10%,,,,diagonal,10,,0.9980519000000001,0.9980518,0.9984414000000001,1.0000000000001327e-07,-0.0003895
diagonal_mean,math,stop_acc,,,,diagonal,10,,0.7583333,0.7633333999999999,0.7583333999999999,-0.0050001,-9.999999999992654e-08
diagonal_mean,science,auroc,,,,diagonal,10,,0.7402863,0.7411852999999999,0.7442593,-0.000899,-0.003973
diagonal_mean,science,selacc@10%,,,,diagonal,10,,0.9193862000000002,0.9175543000000002,0.9189113000000001,0.0018319000000000002,0.0004749
diagonal_mean,science,stop_acc,,,,diagonal,10,,0.6424101999999999,0.6382051000000001,0.6412948,0.0042051000000000015,0.0011153999999999997
offdiag_all_mean,math,auroc,,,,combined,90,,0.9422417111111111,0.9456251000000001,0.9467713,-0.0033833888888888885,-0.004529588888888888
offdiag_all_mean,math,selacc@10%,,,,combined,90,,0.9980518777777778,0.9980517999999999,0.9984413999999999,7.77777777777857e-08,-0.0003895222222222222
offdiag_all_mean,math,stop_acc,,,,combined,90,,0.7587037111111111,0.7633334,0.7583333999999999,-0.0046296888888888894,0.00037031111111111116
offdiag_all_mean,science,auroc,,,,combined,90,,0.7357656444444446,0.7411852999999999,0.7442593000000001,-0.005419655555555555,-0.008493655555555556
offdiag_all_mean,science,selacc@10%,,,,combined,90,,0.9173906888888889,0.9175543,0.9189112999999998,-0.00016361111111111106,-0.0015206111111111113
offdiag_all_mean,science,stop_acc,,,,combined,90,,0.6402235333333334,0.6382051,0.6412948,0.0020184333333333328,-0.0010712666666666663
near_offdiag_mean,math,auroc,,,,combined,34,,0.9458811764705882,0.947497294117647,0.9487050588235294,-0.0016161176470588237,-0.0028238823529411765
near_offdiag_mean,math,selacc@10%,,,,combined,34,,0.9979755294117647,0.9979372352941176,0.998395588235294,3.829411764705884e-05,-0.0004200588235294118
near_offdiag_mean,math,stop_acc,,,,combined,34,,0.7602940588235294,0.7627452058823528,0.7580882941176472,-0.00245114705882353,0.0022057647058823533
near_offdiag_mean,science,auroc,,,,combined,34,,0.7415680588235293,0.7439011470588236,0.7465497647058823,-0.0023330882352941176,-0.00498170588235294
near_offdiag_mean,science,selacc@10%,,,,combined,34,,0.9257786764705883,0.9256094999999999,0.9256329705882353,0.00016917647058823526,0.00014570588235294149
near_offdiag_mean,science,stop_acc,,,,combined,34,,0.6413083823529413,0.6401055294117647,0.6438837647058824,0.0012028529411764704,-0.002575382352941176
far_offdiag_mean,math,auroc,,,,combined,30,,0.9359525333333334,0.9421242,0.9430960000000002,-0.0061716666666666664,-0.0071434666666666665
far_offdiag_mean,math,selacc@10%,,,,combined,30,,0.9981383999999998,0.9982248999999999,0.9984846666666665,-8.649999999999999e-05,-0.00034626666666666666
far_offdiag_mean,math,stop_acc,,,,combined,30,,0.7586112,0.7661111,0.7602778333333335,-0.007499900000000001,-0.0016666333333333334
far_offdiag_mean,science,auroc,,,,combined,30,,0.7259493,0.7356595333333333,0.7397094333333333,-0.009710233333333334,-0.013760133333333337
far_offdiag_mean,science,selacc@10%,,,,combined,30,,0.9018286333333333,0.9021463333333333,0.9065643999999998,-0.0003176999999999996,-0.004735766666666667
far_offdiag_mean,science,stop_acc,,,,combined,30,,0.6410768333333334,0.6357222333333336,0.6381281999999999,0.005354599999999999,0.0029486333333333344
forward_all_mean,math,auroc,,,,forward,45,,0.9562937555555554,0.9574176444444444,0.9585287111111113,-0.0011238888888888887,-0.002234955555555555
forward_all_mean,math,selacc@10%,,,,forward,45,,0.9982682666666663,0.9982970666666663,0.9985567777777774,-2.8799999999999992e-05,-0.0002885111111111111
forward_all_mean,math,stop_acc,,,,forward,45,,0.7735184888888885,0.772963022222222,0.7722223555555554,0.0005554666666666667,0.001296133333333334
forward_all_mean,science,auroc,,,,forward,45,,0.7457058000000001,0.7554994666666668,0.7616423555555555,-0.009793666666666666,-0.015936555555555558
forward_all_mean,science,selacc@10%,,,,forward,45,,0.9382165555555556,0.9475248222222225,0.9528747555555555,-0.009308266666666667,-0.014658200000000001
forward_all_mean,science,stop_acc,,,,forward,45,,0.6429457777777778,0.6436097333333333,0.6414842666666668,-0.0006639555555555555,0.0014615111111111116
backward_all_mean,math,auroc,,,,backward,45,,0.9281896666666667,0.9338325555555557,0.9350138888888888,-0.005642888888888888,-0.006824222222222223
backward_all_mean,math,selacc@10%,,,,backward,45,,0.9978354888888887,0.997806533333333,0.998326022222222,2.895555555555557e-05,-0.0004905333333333334
backward_all_mean,math,stop_acc,,,,backward,45,,0.7438889333333333,0.7537037777777778,0.7444444444444442,-0.009814844444444443,-0.0005555111111111114
backward_all_mean,science,auroc,,,,backward,45,,0.725825488888889,0.7268711333333332,0.7268762444444445,-0.0010456444444444442,-0.0010507555555555556
backward_all_mean,science,selacc@10%,,,,backward,45,,0.8965648222222222,0.8875837777777776,0.8849478444444445,0.008981044444444444,0.011616977777777778
backward_all_mean,science,stop_acc,,,,backward,45,,0.6375012888888889,0.6328004666666667,0.6411053333333333,0.004700822222222222,-0.003604044444444444
gap_mean,math,auroc,,,10,combined,18,,0.9457893333333334,0.9472962222222221,0.9484608888888888,-0.001506888888888889,-0.002671555555555556
gap_mean,math,auroc,,,20,combined,16,,0.9459845,0.9477234999999999,0.94897975,-0.001739,-0.00299525
gap_mean,math,auroc,,,30,combined,14,,0.9454144999999999,0.947554,0.9488363571428572,-0.0021395,-0.003421857142857143
gap_mean,math,auroc,,,40,combined,12,,0.9439512500000001,0.9468224166666667,0.9480713333333334,-0.0028711666666666664,-0.004120083333333333
gap_mean,math,auroc,,,50,combined,10,,0.9418072000000001,0.9456251,0.9467713,-0.0038179,-0.004964100000000001
gap_mean,math,auroc,,,60,combined,8,,0.93875525,0.9438291249999999,0.9448212500000001,-0.005073874999999999,-0.006066
gap_mean,math,auroc,,,70,combined,6,,0.9342820000000001,0.9411243333333332,0.9419528333333332,-0.006842333333333333,-0.007670833333333334
gap_mean,math,auroc,,,80,combined,4,,0.92765725,0.9372315,0.9379375,-0.00957425,-0.010280250000000001
gap_mean,math,auroc,,,90,combined,2,,0.9170705,0.930585,0.931565,-0.013514499999999999,-0.0144945
gap_mean,math,selacc@10%,,,10,combined,18,,0.9981240000000001,0.9979796666666666,0.9984125555555556,0.00014433333333333334,-0.00028855555555555557
gap_mean,math,selacc@10%,,,20,combined,16,,0.9978085,0.9978894999999999,0.9983765,-8.099999999999998e-05,-0.000568
gap_mean,math,selacc@10%,,,30,combined,14,,0.997959142857143,0.9979590714285715,0.9984228571428574,7.142857142858091e-08,-0.00046371428571428567
gap_mean,math,selacc@10%,,,40,combined,12,,0.9981600833333335,0.9980518333333336,0.9984846666666667,0.00010825,-0.00032458333333333335
gap_mean,math,selacc@10%,,,50,combined,10,,0.9983115,0.9980518,0.9984414000000001,0.00025969999999999997,-0.0001299
gap_mean,math,selacc@10%,,,60,combined,8,,0.998051875,0.9980517499999999,0.9983765,1.250000000000166e-07,-0.000324625
gap_mean,math,selacc@10%,,,70,combined,6,,0.9978353333333333,0.9982681666666666,0.9984846666666667,-0.0004328333333333333,-0.0006493333333333334
gap_mean,math,selacc@10%,,,80,combined,4,,0.9983765,0.998701,0.998701,-0.0003245,-0.0003245
gap_mean,math,selacc@10%,,,90,combined,2,,0.9980519999999999,0.998701,0.998701,-0.000649,-0.000649
gap_mean,math,stop_acc,,,10,combined,18,,0.7606480555555556,0.7629630555555557,0.758333388888889,-0.0023150000000000002,0.0023146666666666667
gap_mean,math,stop_acc,,,20,combined,16,,0.7598958125,0.762500125,0.7578125625000001,-0.0026043125000000003,0.00208325
gap_mean,math,stop_acc,,,30,combined,14,,0.7559524285714285,0.7613096428571428,0.7571429285714286,-0.005357214285714286,-0.0011905000000000002
gap_mean,math,stop_acc,,,40,combined,12,,0.7576388333333334,0.76041675,0.7555556666666666,-0.002777916666666667,0.0020831666666666668
gap_mean,math,stop_acc,,,50,combined,10,,0.7533334,0.7633333999999999,0.7583333999999999,-0.01,-0.004999999999999999
gap_mean,math,stop_acc,,,60,combined,8,,0.758333375,0.767708375,0.7625,-0.009375000000000001,-0.004166625
gap_mean,math,stop_acc,,,70,combined,6,,0.7611113333333334,0.7680555,0.7611111666666668,-0.006944166666666667,1.6666666666683336e-07
gap_mean,math,stop_acc,,,80,combined,4,,0.7645835,0.7666665,0.7604167500000001,-0.0020830000000000006,0.00416675
gap_mean,math,stop_acc,,,90,combined,2,,0.7666665,0.7666665,0.7583335,0.0,0.008333
gap_mean,science,auroc,,,10,combined,18,,0.7413319444444445,0.743313388888889,0.7461307777777778,-0.001981444444444444,-0.004798833333333333
gap_mean,science,auroc,,,20,combined,16,,0.7418336875,0.744562375,0.7470211250000001,-0.0027286875,-0.005187437499999999
gap_mean,science,auroc,,,30,combined,14,,0.7406047857142858,0.7445612142857144,0.7469683571428573,-0.003956428571428571,-0.006363571428571428
gap_mean,science,auroc,,,40,combined,12,,0.7382206666666667,0.7433662499999999,0.7459837500000001,-0.005145583333333333,-0.007763083333333334
gap_mean,science,auroc,,,50,combined,10,,0.7348542,0.7411852999999999,0.7442593000000001,-0.006331099999999999,-0.009405099999999998
gap_mean,science,auroc,,,60,combined,8,,0.72948475,0.7379138749999999,0.741672625,-0.008429125,-0.012187875
gap_mean,science,auroc,,,70,combined,6,,0.7217833333333333,0.7333081666666666,0.7379381666666666,-0.011524833333333333,-0.016154833333333334
gap_mean,science,auroc,,,80,combined,4,,0.711095,0.727677,0.733212,-0.016582,-0.022116999999999998
gap_mean,science,auroc,,,90,combined,2,,0.7094895000000001,0.7220325,0.7274160000000001,-0.012543,-0.017926499999999998
gap_mean,science,selacc@10%,,,10,combined,18,,0.9254798333333333,0.9244794444444445,0.9248886111111112,0.0010003888888888888,0.0005912222222222219
gap_mean,science,selacc@10%,,,20,combined,16,,0.926114875,0.9268808125,0.926470375,-0.0007659375000000003,-0.0003555
gap_mean,science,selacc@10%,,,30,combined,14,,0.9270562142857142,0.9264472857142859,0.9254415714285715,0.0006089285714285714,0.0016146428571428575
gap_mean,science,selacc@10%,,,40,combined,12,,0.9212534166666666,0.9228760000000001,0.9231151666666667,-0.0016225833333333333,-0.00186175
gap_mean,science,selacc@10%,,,50,combined,10,,0.9156261999999998,0.9175542999999999,0.9189113000000001,-0.0019281000000000003,-0.0032851000000000004
gap_mean,science,selacc@10%,,,60,combined,8,,0.906799375,0.90957175,0.9126055,-0.002772374999999999,-0.005806124999999999
gap_mean,science,selacc@10%,,,70,combined,6,,0.8928376666666668,0.896804,0.9036740000000001,-0.003966333333333333,-0.010836333333333331
gap_mean,science,selacc@10%,,,80,combined,4,,0.8789345000000001,0.8802482500000001,0.888675,-0.0013137500000000024,-0.009740500000000001
gap_mean,science,selacc@10%,,,90,combined,2,,0.8857189999999999,0.855228,0.8651155,0.030491,0.020603500000000004
gap_mean,science,stop_acc,,,10,combined,18,,0.6433048333333333,0.6400640555555556,0.6443232777777778,0.003240777777777778,-0.001018444444444445
gap_mean,science,stop_acc,,,20,combined,16,,0.639062375,0.6401521875,0.6433893125,-0.0010898125000000005,-0.004326937499999999
gap_mean,science,stop_acc,,,30,combined,14,,0.6393496428571429,0.6388186428571428,0.6421244285714286,0.0005310000000000003,-0.002774785714285713
gap_mean,science,stop_acc,,,40,combined,12,,0.6360360833333334,0.6383119166666668,0.640908,-0.0022758333333333337,-0.004871916666666667
gap_mean,science,stop_acc,,,50,combined,10,,0.6348716000000001,0.6382051,0.6412948,-0.003333500000000001,-0.0064232
gap_mean,science,stop_acc,,,60,combined,8,,0.641875,0.6380448750000001,0.641875,0.003830125000000001,-8.673617379884035e-19
gap_mean,science,stop_acc,,,70,combined,6,,0.6460896666666666,0.6367735,0.6393589999999999,0.009316166666666665,0.006730666666666667
gap_mean,science,stop_acc,,,80,combined,4,,0.64451925,0.63041675,0.6329167499999999,0.0141025,0.011602500000000002
gap_mean,science,stop_acc,,,90,combined,2,,0.646987,0.6214744999999999,0.6140384999999999,0.0255125,0.0329485
forward_gap_mean,math,auroc,,,10,forward,9,,0.9499923333333332,0.9512072222222222,0.9523711111111111,-0.0012148888888888888,-0.002378777777777778
forward_gap_mean,math,auroc,,,20,forward,8,,0.95348575,0.9545505,0.955848625,-0.00106475,-0.002362875
forward_gap_mean,math,auroc,,,30,forward,7,,0.9560415714285714,0.9569857142857144,0.9582640000000001,-0.000944142857142857,-0.0022224285714285714
forward_gap_mean,math,auroc,,,40,forward,6,,0.9578316666666667,0.9588788333333335,0.9600176666666668,-0.0010471666666666667,-0.002186
forward_gap_mean,math,auroc,,,50,forward,5,,0.9593311999999999,0.9604877999999999,0.9614622,-0.0011565999999999998,-0.002131
forward_gap_mean,math,auroc,,,60,forward,4,,0.96077425,0.9619137499999999,0.9627407499999999,-0.0011394999999999999,-0.0019665000000000004
forward_gap_mean,math,auroc,,,70,forward,3,,0.9620540000000001,0.9631316666666666,0.9639506666666667,-0.0010776666666666667,-0.0018966666666666665
forward_gap_mean,math,auroc,,,80,forward,2,,0.9631730000000001,0.9645395,0.965413,-0.0013665,-0.00224
forward_gap_mean,math,auroc,,,90,forward,1,,0.96386,0.965784,0.966757,-0.001924,-0.002897
forward_gap_mean,math,selacc@10%,,,10,forward,9,,0.9981240000000001,0.9979796666666666,0.9984125555555556,0.00014433333333333334,-0.00028855555555555557
forward_gap_mean,math,selacc@10%,,,20,forward,8,,0.997889625,0.9978894999999999,0.9983765,1.250000000000166e-07,-0.000486875
forward_gap_mean,math,selacc@10%,,,30,forward,7,,0.9979591428571428,0.9981445714285713,0.9985155714285713,-0.0001854285714285714,-0.0005564285714285714
forward_gap_mean,math,selacc@10%,,,40,forward,6,,0.9982683333333332,0.9984846666666666,0.998701,-0.00021633333333333332,-0.00043266666666666665
forward_gap_mean,math,selacc@10%,,,50,forward,5,,0.998701,0.998701,0.998701,0.0,0.0
forward_gap_mean,math,selacc@10%,,,60,forward,4,,0.998701,0.998701,0.998701,0.0,0.0
forward_gap_mean,math,selacc@10%,,,70,forward,3,,0.998701,0.998701,0.998701,0.0,0.0
forward_gap_mean,math,selacc@10%,,,80,forward,2,,0.998701,0.998701,0.998701,0.0,0.0
forward_gap_mean,math,selacc@10%,,,90,forward,1,,0.998701,0.998701,0.998701,0.0,0.0
forward_gap_mean,math,stop_acc,,,10,forward,9,,0.7657406666666666,0.7666667777777777,0.762963,-0.0009261111111111112,0.0027776666666666666
forward_gap_mean,math,stop_acc,,,20,forward,8,,0.7687499999999999,0.768750125,0.76666675,-1.25000000000125e-07,0.00208325
forward_gap_mean,math,stop_acc,,,30,forward,7,,0.7690475714285715,0.7690477142857143,0.7678572857142857,-1.4285714285728573e-07,0.0011902857142857143
forward_gap_mean,math,stop_acc,,,40,forward,6,,0.7736109999999999,0.7694445,0.7694446666666667,0.0041665,0.0041663333333333335
forward_gap_mean,math,stop_acc,,,50,forward,5,,0.7733331999999999,0.7733334,0.7750002,-2.0000000000020002e-07,-0.0016669999999999996
forward_gap_mean,math,stop_acc,,,60,forward,4,,0.7812499999999999,0.78125,0.7833334999999999,0.0,-0.0020835
forward_gap_mean,math,stop_acc,,,70,forward,3,,0.7888890000000001,0.786111,0.7861113333333334,0.0027780000000000005,0.0027776666666666666
forward_gap_mean,math,stop_acc,,,80,forward,2,,0.791667,0.7916665,0.7958335000000001,4.999999999996327e-07,-0.0041665
forward_gap_mean,math,stop_acc,,,90,forward,1,,0.8,0.8,0.8,0.0,0.0
forward_gap_mean,science,auroc,,,10,forward,9,,0.7444472222222223,0.7480934444444445,0.7515114444444444,-0.0036462222222222226,-0.007064222222222222
forward_gap_mean,science,auroc,,,20,forward,8,,0.748156625,0.75308025,0.7570905,-0.004923625,-0.008933874999999999
forward_gap_mean,science,auroc,,,30,forward,7,,0.7493412857142856,0.756169,0.7611887142857142,-0.006827714285714286,-0.01184742857142857
forward_gap_mean,science,auroc,,,40,forward,6,,0.7489604999999999,0.7577478333333333,0.7639701666666667,-0.008787333333333333,-0.01500966666666667
forward_gap_mean,science,auroc,,,50,forward,5,,0.7476164000000001,0.7585298,0.76613,-0.0109134,-0.018513599999999998
forward_gap_mean,science,auroc,,,60,forward,4,,0.744324,0.75948625,0.7686522499999999,-0.01516225,-0.02432825
forward_gap_mean,science,auroc,,,70,forward,3,,0.7391833333333334,0.760393,0.771119,-0.02120966666666667,-0.03193566666666667
forward_gap_mean,science,auroc,,,80,forward,2,,0.7300305,0.7617484999999999,0.7734894999999999,-0.031717999999999996,-0.043459
forward_gap_mean,science,auroc,,,90,forward,1,,0.739342,0.765053,0.775842,-0.025711,-0.0365
forward_gap_mean,science,selacc@10%,,,10,forward,9,,0.9322888888888888,0.9361770000000001,0.9377695555555555,-0.003888111111111111,-0.005480666666666666
forward_gap_mean,science,selacc@10%,,,20,forward,8,,0.9392413749999999,0.94585225,0.947572,-0.0066108749999999996,-0.008330625000000001
forward_gap_mean,science,selacc@10%,,,30,forward,7,,0.9454277142857144,0.9500061428571428,0.9524608571428571,-0.004578428571428572,-0.007033142857142857
forward_gap_mean,science,selacc@10%,,,40,forward,6,,0.9412341666666667,0.9508758333333334,0.9553491666666666,-0.009641666666666666,-0.014115
forward_gap_mean,science,selacc@10%,,,50,forward,5,,0.9404125999999999,0.9513048,0.9576702000000001,-0.010892200000000001,-0.0172576
forward_gap_mean,science,selacc@10%,,,60,forward,4,,0.93565025,0.9515715,0.9609565,-0.015921249999999998,-0.02530625
forward_gap_mean,science,selacc@10%,,,70,forward,3,,0.9310793333333334,0.9517746666666667,0.966719,-0.020695333333333333,-0.03563966666666667
forward_gap_mean,science,selacc@10%,,,80,forward,2,,0.9265125000000001,0.956134,0.9730814999999999,-0.029621500000000002,-0.046569
forward_gap_mean,science,selacc@10%,,,90,forward,1,,0.958888,0.960506,0.981044,-0.001618,-0.022156
forward_gap_mean,science,stop_acc,,,10,forward,9,,0.6457692222222222,0.6423076666666666,0.6457406666666665,0.0034615555555555554,2.8555555555555973e-05
forward_gap_mean,science,stop_acc,,,20,forward,8,,0.6386858750000001,0.6442147500000001,0.644342875,-0.005528875,-0.005657
forward_gap_mean,science,stop_acc,,,30,forward,7,,0.6432232857142858,0.6416667142857142,0.6417764285714286,0.0015565714285714286,0.0014468571428571432
forward_gap_mean,science,stop_acc,,,40,forward,6,,0.6427348333333334,0.6433333333333334,0.6400853333333333,-0.0005984999999999997,0.0026495000000000004
forward_gap_mean,science,stop_acc,,,50,forward,5,,0.6358460000000001,0.6457436,0.6377948,-0.009897600000000001,-0.0019488
forward_gap_mean,science,stop_acc,,,60,forward,4,,0.6455127500000001,0.6455770000000001,0.640641,-6.424999999999983e-05,0.004871749999999999
forward_gap_mean,science,stop_acc,,,70,forward,3,,0.6500853333333333,0.6434190000000001,0.638547,0.006666333333333333,0.011538333333333333
forward_gap_mean,science,stop_acc,,,80,forward,2,,0.6468590000000001,0.646667,0.6367309999999999,0.00019200000000000033,0.010128000000000002
forward_gap_mean,science,stop_acc,,,90,forward,1,,0.646923,0.641667,0.626795,0.005256,0.020128
backward_gap_mean,math,auroc,,,10,backward,9,,0.9415863333333334,0.9433852222222223,0.9445506666666668,-0.001798888888888889,-0.002964333333333333
backward_gap_mean,math,auroc,,,20,backward,8,,0.93848325,0.9408965,0.942110875,-0.00241325,-0.0036276249999999998
backward_gap_mean,math,auroc,,,30,backward,7,,0.9347874285714287,0.9381222857142858,0.9394087142857143,-0.003334857142857143,-0.004621285714285714
backward_gap_mean,math,auroc,,,40,backward,6,,0.9300708333333332,0.9347660000000001,0.936125,-0.004695166666666667,-0.006054166666666666
backward_gap_mean,math,auroc,,,50,backward,5,,0.9242832,0.9307624000000001,0.9320803999999999,-0.0064792,-0.0077972
backward_gap_mean,math,auroc,,,60,backward,4,,0.91673625,0.9257445,0.92690175,-0.00900825,-0.010165500000000001
backward_gap_mean,math,auroc,,,70,backward,3,,0.9065099999999999,0.919117,0.919955,-0.012607,-0.013445
backward_gap_mean,math,auroc,,,80,backward,2,,0.8921415,0.9099235,0.910462,-0.017782,-0.0183205
backward_gap_mean,math,auroc,,,90,backward,1,,0.870281,0.895386,0.896373,-0.025105,-0.026092
backward_gap_mean,math,selacc@10%,,,10,backward,9,,0.9981239999999999,0.9979796666666666,0.9984125555555556,0.00014433333333333334,-0.00028855555555555557
backward_gap_mean,math,selacc@10%,,,20,backward,8,,0.997727375,0.9978895,0.9983765,-0.00016212499999999997,-0.000649125
backward_gap_mean,math,selacc@10%,,,30,backward,7,,0.9979591428571427,0.9977735714285714,0.9983301428571426,0.00018557142857142858,-0.00037099999999999996
backward_gap_mean,math,selacc@10%,,,40,backward,6,,0.9980518333333332,0.9976189999999999,0.9982683333333332,0.0004328333333333333,-0.0002165
backward_gap_mean,math,selacc@10%,,,50,backward,5,,0.997922,0.9974026,0.9981817999999999,0.0005193999999999999,-0.0002598
backward_gap_mean,math,selacc@10%,,,60,backward,4,,0.99740275,0.9974025,0.9980519999999999,2.500000000000332e-07,-0.00064925
backward_gap_mean,math,selacc@10%,,,70,backward,3,,0.9969696666666666,0.9978353333333333,0.9982683333333333,-0.0008656666666666666,-0.0012986666666666667
backward_gap_mean,math,selacc@10%,,,80,backward,2,,0.9980519999999999,0.998701,0.998701,-0.000649,-0.000649
